MAPPED_TRAIT_URI	MAPPED_TRAIT	SNPS	STUDY	LINK
http://www.ebi.ac.uk/efo/EFO_0004784	self reported educational attainment	rs55786114	Genome-wide association study identifies 74 loci associated with educational attainment.	www.ncbi.nlm.nih.gov/pubmed/27225129
http://www.ebi.ac.uk/efo/EFO_0003940	physical activity	rs6834483	Novel genetic loci identified for the pathophysiology of childhood obesity in the Hispanic population.	www.ncbi.nlm.nih.gov/pubmed/23251661
http://www.ebi.ac.uk/efo/EFO_0004314, http://purl.obolibrary.org/obo/GO_0097366	forced expiratory volume, response to bronchodilator	rs17483721	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0004645, http://www.ebi.ac.uk/efo/EFO_0004873	response to vaccine, cytokine measurement	rs859267	Genome-wide analysis of polymorphisms associated with cytokine responses in smallpox vaccine recipients.	www.ncbi.nlm.nih.gov/pubmed/22610502
http://www.ebi.ac.uk/efo/EFO_0004833, http://www.ebi.ac.uk/efo/EFO_0005090	neutrophil count, basophil count	rs663045	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0007986	reticulocyte count	rs7710385	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0003898, http://www.ebi.ac.uk/efo/EFO_0000676, http://www.ebi.ac.uk/efo/EFO_0000729, http://www.ebi.ac.uk/efo/EFO_0000384, http://www.ebi.ac.uk/efo/EFO_0004268	ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis	rs9977672	Analysis of five chronic inflammatory diseases identifies 27 new associations and highlights disease-specific patterns at shared loci.	www.ncbi.nlm.nih.gov/pubmed/26974007
http://www.ebi.ac.uk/efo/EFO_0007753	seasonal gut microbiome measurement	rs6413860	Genome-Wide Association Studies of the Human Gut Microbiota.	www.ncbi.nlm.nih.gov/pubmed/26528553
http://www.ebi.ac.uk/efo/EFO_0000692	schizophrenia	rs4648845	Genome-wide association study of schizophrenia in Ashkenazi Jews.	www.ncbi.nlm.nih.gov/pubmed/26198764
http://www.ebi.ac.uk/efo/EFO_0006336	diastolic blood pressure	rs653178	Trans-ancestry genome-wide association study identifies 12 genetic loci influencing blood pressure and implicates a role for DNA methylation.	www.ncbi.nlm.nih.gov/pubmed/26390057
http://www.ebi.ac.uk/efo/EFO_0008434	initial pursuit acceleration	rs34464266	Genome-wide association studies of smooth pursuit and antisaccade eye movements in psychotic disorders: findings from the B-SNIP study.	www.ncbi.nlm.nih.gov/pubmed/29064472
http://www.ebi.ac.uk/efo/EFO_0007702	hip bone mineral density	rs1107748	Sequence variants in the PTCH1 gene associate with spine bone mineral density and osteoporotic fractures.	www.ncbi.nlm.nih.gov/pubmed/26733130
http://www.ebi.ac.uk/efo/EFO_0007986	reticulocyte count	rs6433921	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0003898, http://www.ebi.ac.uk/efo/EFO_0000676, http://www.ebi.ac.uk/efo/EFO_0000729, http://www.ebi.ac.uk/efo/EFO_0000384, http://www.ebi.ac.uk/efo/EFO_0004268	ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis	rs395157	Analysis of five chronic inflammatory diseases identifies 27 new associations and highlights disease-specific patterns at shared loci.	www.ncbi.nlm.nih.gov/pubmed/26974007
http://www.ebi.ac.uk/efo/EFO_0003776, http://www.ebi.ac.uk/efo/EFO_0000612	coronary artery bypass, myocardial infarction	rs6822035; rs6828577	Genome-wide association study of perioperative myocardial infarction after coronary artery bypass surgery.	www.ncbi.nlm.nih.gov/pubmed/25948407
http://www.ebi.ac.uk/efo/EFO_0007989	monocypte percentage of leukocytes	rs4142441	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0005193	serum IgG glycosylation measurement	rs3780486	Loci associated with N-glycosylation of human immunoglobulin G show pleiotropy with autoimmune diseases and haematological cancers.	www.ncbi.nlm.nih.gov/pubmed/23382691
http://www.ebi.ac.uk/efo/EFO_0001357	sporadic amyotrophic lateral sclerosis	kgp12796733	Genome-wide association study combining pathway analysis for typical sporadic amyotrophic lateral sclerosis in Chinese Han populations.	www.ncbi.nlm.nih.gov/pubmed/24529757
http://www.ebi.ac.uk/efo/EFO_0000692	schizophrenia	rs76405237	Genome-wide association study of schizophrenia in Ashkenazi Jews.	www.ncbi.nlm.nih.gov/pubmed/26198764
http://www.ebi.ac.uk/efo/EFO_0001360	type II diabetes mellitus	rs163177	Interaction of iron status with single nucleotide polymorphisms on incidence of type 2 diabetes.	www.ncbi.nlm.nih.gov/pubmed/28406950
http://www.ebi.ac.uk/efo/EFO_0007985	plateletcrit	rs4713675	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	rs111527967	Genome-wide association study of paliperidone efficacy.	www.ncbi.nlm.nih.gov/pubmed/27846195
http://www.ebi.ac.uk/efo/EFO_0003785	allergy	rs4801001	Shared genetic origin of asthma, hay fever and eczema elucidates allergic disease biology.	www.ncbi.nlm.nih.gov/pubmed/29083406
http://www.ebi.ac.uk/efo/EFO_0004339	body height	rs153750	Genome-wide meta-analysis identifies 11 new loci for anthropometric traits and provides insights into genetic architecture.	www.ncbi.nlm.nih.gov/pubmed/23563607
http://www.ebi.ac.uk/efo/EFO_0001073	obesity	rs1048466	Genome-wide SNP and CNV analysis identifies common and low-frequency variants associated with severe early-onset obesity.	www.ncbi.nlm.nih.gov/pubmed/23563609
http://www.ebi.ac.uk/efo/EFO_0004612	high density lipoprotein cholesterol measurement	rs4759375	Discovery and refinement of loci associated with lipid levels.	www.ncbi.nlm.nih.gov/pubmed/24097068
http://www.ebi.ac.uk/efo/EFO_0007843	nose morphology measurement	rs3923268	Genome-wide association study of facial morphology reveals novel associations with FREM1 and PARK2.	www.ncbi.nlm.nih.gov/pubmed/28441456
http://www.ebi.ac.uk/efo/EFO_0001360	type II diabetes mellitus	rs516946	Genome-wide trans-ancestry meta-analysis provides insight into the genetic architecture of type 2 diabetes susceptibility.	www.ncbi.nlm.nih.gov/pubmed/24509480
http://www.ebi.ac.uk/efo/EFO_0000612	myocardial infarction	rs9985766	A genome-wide association study reveals susceptibility loci for myocardial infarction/coronary artery disease in Saudi Arabs.	www.ncbi.nlm.nih.gov/pubmed/26708285
http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007792, http://www.ebi.ac.uk/efo/EFO_0005411	schizophrenia, antipsychotic drug use measurement, schizoaffective disorder	rs9347865	Genome-wide association analysis to predict optimal antipsychotic dosage in schizophrenia: a pilot study.	www.ncbi.nlm.nih.gov/pubmed/26821981
http://www.ebi.ac.uk/efo/EFO_0004325, http://www.ebi.ac.uk/efo/EFO_0007981, http://www.ebi.ac.uk/efo/EFO_0007766	blood pressure, response to thiazide, response to beta blocker	rs261316	Genetic Variants Associated With Uncontrolled Blood Pressure on Thiazide Diuretic/β-Blocker Combination Therapy in the PEAR (Pharmacogenomic Evaluation of Antihypertensive Responses) and INVEST (International Verapamil-SR Trandolapril Study) Trials.	www.ncbi.nlm.nih.gov/pubmed/29097388
http://www.ebi.ac.uk/efo/EFO_0004527	mean corpuscular hemoglobin	rs2413450	Multiple loci influence erythrocyte phenotypes in the CHARGE Consortium.	www.ncbi.nlm.nih.gov/pubmed/19862010
http://www.ebi.ac.uk/efo/EFO_0007906	synophrys measurement	rs111677654	Detection and interpretation of shared genetic influences on 42 human traits.	www.ncbi.nlm.nih.gov/pubmed/27182965
http://www.ebi.ac.uk/efo/EFO_0007583	blood nickel measurement	chr6:123641670	Genome-wide association study of toxic metals and trace elements reveals novel associations.	www.ncbi.nlm.nih.gov/pubmed/26025379
http://www.ebi.ac.uk/efo/EFO_0008003	heart rate variability measurement	rs12974440	Genetic loci associated with heart rate variability and their effects on cardiac disease risk.	www.ncbi.nlm.nih.gov/pubmed/28613276
http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0000289	attention deficit hyperactivity disorder, bipolar disorder	rs7089973	Genetic Overlap Between Attention-Deficit/Hyperactivity Disorder and Bipolar Disorder: Evidence From Genome-wide Association Study Meta-analysis.	www.ncbi.nlm.nih.gov/pubmed/27890468
http://www.ebi.ac.uk/efo/EFO_0008337	psychosis predisposition measurement	rs9581857	Genome-Wide Association Study of Psychosis Proneness in the Finnish Population.	www.ncbi.nlm.nih.gov/pubmed/28525603
http://www.ebi.ac.uk/efo/EFO_0000249, http://www.ebi.ac.uk/efo/EFO_0005940	Alzheimers disease, psychotic symptoms	rs257016	Genome-wide association study of Alzheimer's disease with psychotic symptoms.	www.ncbi.nlm.nih.gov/pubmed/22005930
http://www.ebi.ac.uk/efo/EFO_0004340	body mass index	rs1928295	Genome-wide association study identifies 112 new loci for body mass index in the Japanese population.	www.ncbi.nlm.nih.gov/pubmed/28892062
http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0000289	attention deficit hyperactivity disorder, bipolar disorder	rs36030485	Genetic Overlap Between Attention-Deficit/Hyperactivity Disorder and Bipolar Disorder: Evidence From Genome-wide Association Study Meta-analysis.	www.ncbi.nlm.nih.gov/pubmed/27890468
http://www.orpha.net/ORDO/Orphanet_54247, http://www.ebi.ac.uk/efo/EFO_0000249	Posterior cortical atrophy, Alzheimers disease	rs6714710	Genetic risk factors for the posterior cortical atrophy variant of Alzheimer's disease.	www.ncbi.nlm.nih.gov/pubmed/26993346
http://www.ebi.ac.uk/efo/EFO_0005842	colorectal cancer	rs1262463	Bayesian and frequentist analysis of an Austrian genome-wide association study of colorectal cancer and advanced adenomas.	www.ncbi.nlm.nih.gov/pubmed/29228715
http://www.ebi.ac.uk/efo/EFO_0008002, http://www.ebi.ac.uk/efo/EFO_0004340	physical activity measurement, body mass index	rs2430307	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://www.ebi.ac.uk/efo/EFO_0008002, http://www.ebi.ac.uk/efo/EFO_0004340	physical activity measurement, body mass index	rs4923460	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://www.ebi.ac.uk/efo/EFO_0000731	uterine fibroid	rs2280543	A genome-wide association study identifies three loci associated with susceptibility to uterine fibroids.	www.ncbi.nlm.nih.gov/pubmed/21460842
http://www.ebi.ac.uk/efo/EFO_0000180, http://www.ebi.ac.uk/efo/EFO_0004570	HIV-1 infection, bilirubin measurement	rs2361502	Phenome-wide Association Study Relating Pretreatment Laboratory Parameters With Human Genetic Variants in AIDS Clinical Trials Group Protocols.	www.ncbi.nlm.nih.gov/pubmed/25884002
http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0004713	response to bronchodilator, FEV/FEC ratio	rs1567287	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0007671	folding of antihelix	rs17023457	A genome-wide association study identifies multiple loci for variation in human ear morphology.	www.ncbi.nlm.nih.gov/pubmed/26105758
http://www.ebi.ac.uk/efo/EFO_0004339	body height	rs7184046	Meta-analysis of genome-wide association studies of adult height in East Asians identifies 17 novel loci.	www.ncbi.nlm.nih.gov/pubmed/25429064
http://www.ebi.ac.uk/efo/EFO_0007788, http://www.ebi.ac.uk/efo/EFO_0008002	BMI-adjusted waist-hip ratio, physical activity measurement	rs998584	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://www.ebi.ac.uk/efo/EFO_0008002, http://www.ebi.ac.uk/efo/EFO_0004340	physical activity measurement, body mass index	rs3817334	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://www.ebi.ac.uk/efo/EFO_0003885, http://www.ebi.ac.uk/efo/EFO_0005206	multiple sclerosis, oligoclonal band measurement	rs3129871	Oligoclonal band status in Scandinavian multiple sclerosis patients is associated with specific genetic risk alleles.	www.ncbi.nlm.nih.gov/pubmed/23472185
http://www.ebi.ac.uk/efo/EFO_0003898, http://www.ebi.ac.uk/efo/EFO_0000676, http://www.ebi.ac.uk/efo/EFO_0000729, http://www.ebi.ac.uk/efo/EFO_0000384, http://www.ebi.ac.uk/efo/EFO_0004268	ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis	rs71624119	Analysis of five chronic inflammatory diseases identifies 27 new associations and highlights disease-specific patterns at shared loci.	www.ncbi.nlm.nih.gov/pubmed/26974007
		rs11765910	A Genome-Wide Association Study of Idiopathic Dilated Cardiomyopathy in African Americans.	www.ncbi.nlm.nih.gov/pubmed/29495422
http://www.ebi.ac.uk/efo/EFO_0000685	rheumatoid arthritis	rs7731626	Genetics of rheumatoid arthritis contributes to biology and drug discovery.	www.ncbi.nlm.nih.gov/pubmed/24390342
http://www.ebi.ac.uk/efo/EFO_0007800	body fat percentage	rs757318	New loci for body fat percentage reveal link between adiposity and cardiometabolic disease risk.	www.ncbi.nlm.nih.gov/pubmed/26833246
http://www.ebi.ac.uk/efo/EFO_0007626	emphysema imaging measurement	rs45505795	A Genome-Wide Association Study of Emphysema and Airway Quantitative Imaging Phenotypes.	www.ncbi.nlm.nih.gov/pubmed/26030696
http://www.ebi.ac.uk/efo/EFO_0004697	estradiol measurement	rs12565140	TSPYL5 SNPs: association with plasma estradiol concentrations and aromatase expression.	www.ncbi.nlm.nih.gov/pubmed/23518928
http://www.ebi.ac.uk/efo/EFO_0004267	biliary liver cirrhosis	rs9303277	Genome-wide meta-analyses identify three loci associated with primary biliary cirrhosis.	www.ncbi.nlm.nih.gov/pubmed/20639880
http://www.ebi.ac.uk/efo/EFO_0007789	BMI-adjusted waist circumference	rs12207675	Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits.	www.ncbi.nlm.nih.gov/pubmed/28443625
http://www.ebi.ac.uk/efo/EFO_0004765, http://www.ebi.ac.uk/efo/EFO_0004340	visceral adipose tissue measurement, body mass index	rs10914967	Genome-wide association for abdominal subcutaneous and visceral adipose reveals a novel locus for visceral fat in women.	www.ncbi.nlm.nih.gov/pubmed/22589738
http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0004713	response to bronchodilator, FEV/FEC ratio	rs180692309	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0003898, http://www.ebi.ac.uk/efo/EFO_0000676, http://www.ebi.ac.uk/efo/EFO_0000729, http://www.ebi.ac.uk/efo/EFO_0000384, http://www.ebi.ac.uk/efo/EFO_0004268	ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis	rs1328454	Analysis of five chronic inflammatory diseases identifies 27 new associations and highlights disease-specific patterns at shared loci.	www.ncbi.nlm.nih.gov/pubmed/26974007
http://www.ebi.ac.uk/efo/EFO_0000253	amyotrophic lateral sclerosis	rs10233425	C9orf72 and UNC13A are shared risk loci for amyotrophic lateral sclerosis and frontotemporal dementia: a genome-wide meta-analysis.	www.ncbi.nlm.nih.gov/pubmed/24931836
http://www.ebi.ac.uk/efo/EFO_0004579	serum IgE measurement	rs20541	A genome-wide association study of plasma total IgE concentrations in the Framingham Heart Study.	www.ncbi.nlm.nih.gov/pubmed/22075330
http://www.ebi.ac.uk/efo/EFO_0007788, http://www.ebi.ac.uk/efo/EFO_0008002	BMI-adjusted waist-hip ratio, physical activity measurement	rs9378213	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://www.ebi.ac.uk/efo/EFO_0007990	neutrophil percentage of leukocytes	rs111338191	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0003923	bone density	rs10048146	Twenty bone-mineral-density loci identified by large-scale meta-analysis of genome-wide association studies.	www.ncbi.nlm.nih.gov/pubmed/19801982
http://www.ebi.ac.uk/efo/EFO_0000729	ulcerative colitis	rs17780256	Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.	www.ncbi.nlm.nih.gov/pubmed/28067908
http://www.ebi.ac.uk/efo/EFO_0004365	personality trait	rs2540226	Genome-wide association scan for five major dimensions of personality.	www.ncbi.nlm.nih.gov/pubmed/18957941
http://www.ebi.ac.uk/efo/EFO_0007986	reticulocyte count	rs61745086	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0004713	response to bronchodilator, FEV/FEC ratio	rs145803288	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0006832, http://www.ebi.ac.uk/efo/EFO_0006896	disposition index measurement, glucose homeostasis measurement	rs1148233	Genetic Variants Associated With Quantitative Glucose Homeostasis Traits Translate to Type 2 Diabetes in Mexican Americans: The GUARDIAN (Genetics Underlying Diabetes in Hispanics) Consortium.	www.ncbi.nlm.nih.gov/pubmed/25524916
http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0004713	response to bronchodilator, FEV/FEC ratio	rs181672678	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0000729	ulcerative colitis	rs2858829	A genome-wide association study identifies a novel locus at 6q22.1 associated with ulcerative colitis.	www.ncbi.nlm.nih.gov/pubmed/25082827
http://www.ebi.ac.uk/efo/EFO_0007986	reticulocyte count	rs2145943	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0005039	hippocampal atrophy	rs8115854	Hippocampal atrophy as a quantitative trait in a genome-wide association study identifying novel susceptibility genes for Alzheimer's disease.	www.ncbi.nlm.nih.gov/pubmed/19668339
http://www.ebi.ac.uk/efo/EFO_0000305	breast carcinoma	rs3760982	Association analysis identifies 65 new breast cancer risk loci.	www.ncbi.nlm.nih.gov/pubmed/29059683
http://www.ebi.ac.uk/efo/EFO_0000180	HIV-1 infection	rs558718	Host determinants of HIV-1 control in African Americans.	www.ncbi.nlm.nih.gov/pubmed/20205591
http://www.ebi.ac.uk/efo/EFO_0005664	blood metabolite measurement	rs6679002	An atlas of genetic influences on human blood metabolites.	www.ncbi.nlm.nih.gov/pubmed/24816252
http://www.orpha.net/ORDO/Orphanet_797	Sarcoidosis	rs9275582	High-Density Genetic Mapping Identifies New Susceptibility Variants in Sarcoidosis Phenotypes and Shows Genomic-driven Phenotypic Differences.	www.ncbi.nlm.nih.gov/pubmed/26651848
http://www.ebi.ac.uk/efo/EFO_0007986	reticulocyte count	rs557966248	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0003898	ankylosing spondylitis	rs11209026	Genome-wide association study of ankylosing spondylitis identifies non-MHC susceptibility loci.	www.ncbi.nlm.nih.gov/pubmed/20062062
http://www.ebi.ac.uk/efo/EFO_0004584	mean platelet volume	rs6805910	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0004735	serum alanine aminotransferase measurement	rs1998303	Genome-wide association with select biomarker traits in the Framingham Heart Study.	www.ncbi.nlm.nih.gov/pubmed/17903293
http://www.ebi.ac.uk/efo/EFO_0004713	FEV/FEC ratio	rs7713065	Genome-wide association analyses for lung function and chronic obstructive pulmonary disease identify new loci and potential druggable targets.	www.ncbi.nlm.nih.gov/pubmed/28166213
http://www.ebi.ac.uk/efo/EFO_0003898	ankylosing spondylitis	rs13093489	Identification of multiple risk variants for ankylosing spondylitis through high-density genotyping of immune-related loci.	www.ncbi.nlm.nih.gov/pubmed/23749187
http://www.ebi.ac.uk/efo/EFO_0005202, http://www.ebi.ac.uk/efo/EFO_0004530	response to hydrochlorothiazide, triglyceride measurement	rs9788333	Genome-wide association analyses suggest NELL1 influences adverse metabolic response to HCTZ in African Americans.	www.ncbi.nlm.nih.gov/pubmed/23400010
http://www.ebi.ac.uk/efo/EFO_0004305	erythrocyte count	rs112257498	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0007789, http://www.ebi.ac.uk/efo/EFO_0008002	BMI-adjusted waist circumference, physical activity measurement	rs806794	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://www.ebi.ac.uk/efo/EFO_0005054, http://www.ebi.ac.uk/efo/EFO_0005055	QRS complex, QRS duration	rs991014	52 Genetic Loci Influencing Myocardial Mass.	www.ncbi.nlm.nih.gov/pubmed/27659466
http://www.ebi.ac.uk/efo/EFO_0004784	self reported educational attainment	rs3127447	Common genetic variants associated with cognitive performance identified using the proxy-phenotype method.	www.ncbi.nlm.nih.gov/pubmed/25201988
http://www.ebi.ac.uk/efo/EFO_0002508	Parkinson's disease	rs3793947	A meta-analysis of genome-wide association studies identifies 17 new Parkinson's disease risk loci.	www.ncbi.nlm.nih.gov/pubmed/28892059
http://www.ebi.ac.uk/efo/EFO_0004337	intelligence	rs2251499	Genome-wide association meta-analysis of 78,308 individuals identifies new loci and genes influencing human intelligence.	www.ncbi.nlm.nih.gov/pubmed/28530673
http://www.ebi.ac.uk/efo/EFO_0004761	uric acid measurement	rs734553	Meta-analysis of 28,141 individuals identifies common variants within five new loci that influence uric acid concentrations.	www.ncbi.nlm.nih.gov/pubmed/19503597
http://www.ebi.ac.uk/efo/EFO_0004318, http://www.ebi.ac.uk/efo/EFO_0007015	smoking behavior, 3-hydroxy-1-methylpropylmercapturic acid measurement	rs978571	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	www.ncbi.nlm.nih.gov/pubmed/26053186
http://www.ebi.ac.uk/efo/EFO_0004847, http://www.ebi.ac.uk/efo/EFO_0000249	age at onset, Alzheimers disease	rs2927694	Family-based association analyses of imputed genotypes reveal genome-wide significant association of Alzheimer's disease with OSBPL6, PTPRG, and PDCL3.	www.ncbi.nlm.nih.gov/pubmed/26830138
http://www.ebi.ac.uk/efo/EFO_0004195	LDL cholesterol	chr1:55939497	Common, low-frequency, and rare genetic variants associated with lipoprotein subclasses and triglyceride measures in Finnish men from the METSIM study.	www.ncbi.nlm.nih.gov/pubmed/29084231
http://www.ebi.ac.uk/efo/EFO_0002690	systemic lupus erythematosus	rs10254284	Genome-Wide Association Study in an Amerindian Ancestry Population Reveals Novel Systemic Lupus Erythematosus Risk Loci and the Role of European Admixture.	www.ncbi.nlm.nih.gov/pubmed/26606652
http://www.ebi.ac.uk/efo/EFO_0007986	reticulocyte count	rs149489081	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0004354	circadian rhythm	rs35333999	Genome-wide association analysis identifies novel loci for chronotype in 100,420 individuals from the UK Biobank.	www.ncbi.nlm.nih.gov/pubmed/26955885
http://www.ebi.ac.uk/efo/EFO_0003923	bone density	rs10242100	Life-Course Genome-wide Association Study Meta-analysis of Total Body BMD and Assessment of Age-Specific Effects.	www.ncbi.nlm.nih.gov/pubmed/29304378
http://www.ebi.ac.uk/efo/EFO_0004309	platelet count	rs513349	GWAS of blood cell traits identifies novel associated loci and epistatic interactions in Caucasian and African-American children.	www.ncbi.nlm.nih.gov/pubmed/23263863
http://purl.obolibrary.org/obo/HP_0100543, http://www.ebi.ac.uk/efo/EFO_0007710	cognitive impairment, cognitive decline measurement	rs79947075	Variations in the FRA10AC1 Fragile Site and 15q21 Are Associated with Cerebrospinal Fluid Aβ1-42 Level.	www.ncbi.nlm.nih.gov/pubmed/26252872
http://www.ebi.ac.uk/efo/EFO_0007997	granulocyte percentage of myeloid white cells	rs35786299	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0005090, http://www.ebi.ac.uk/efo/EFO_0004842	basophil count, eosinophil count	rs10542411	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0004340, http://www.ebi.ac.uk/efo/EFO_0004466	body mass index, fasting blood insulin measurement	rs1801282	A genome-wide approach accounting for body mass index identifies genetic variants influencing fasting glycemic traits and insulin resistance.	www.ncbi.nlm.nih.gov/pubmed/22581228
http://www.ebi.ac.uk/efo/EFO_0002508	Parkinson's disease	rs12185268	Web-based genome-wide association study identifies two novel loci and a substantial genetic component for Parkinson's disease.	www.ncbi.nlm.nih.gov/pubmed/21738487
http://www.ebi.ac.uk/efo/EFO_0000270	asthma	rs2353275	Identification of Four Novel Loci in Asthma in European American and African American Populations.	www.ncbi.nlm.nih.gov/pubmed/27611488
http://www.ebi.ac.uk/efo/EFO_0008111	diet measurement	rs10924198	Genome-Wide Association Study of Dietary Pattern Scores.	www.ncbi.nlm.nih.gov/pubmed/28644415
http://www.ebi.ac.uk/efo/EFO_0001360	type II diabetes mellitus	rs4258054	Genome-wide association studies in the Japanese population identify seven novel loci for type 2 diabetes.	www.ncbi.nlm.nih.gov/pubmed/26818947
http://www.ebi.ac.uk/efo/EFO_0004810	interleukin-6 measurement	rs4652795	Novel genetic loci identified for the pathophysiology of childhood obesity in the Hispanic population.	www.ncbi.nlm.nih.gov/pubmed/23251661
http://www.ebi.ac.uk/efo/EFO_1000650	estrogen-receptor negative breast cancer	rs10069690	Genome-wide association studies in women of African ancestry identified 3q26.21 as a novel susceptibility locus for oestrogen receptor negative breast cancer.	www.ncbi.nlm.nih.gov/pubmed/28171663
http://www.ebi.ac.uk/efo/EFO_0000717	systemic scleroderma	rs3130573	Genome-wide scan identifies TNIP1, PSORS1C1, and RHOB as novel risk loci for systemic sclerosis.	www.ncbi.nlm.nih.gov/pubmed/21750679
http://www.ebi.ac.uk/efo/EFO_0004526	mean corpuscular volume	rs77741769	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
